"";"m1";"m2";"chr";"pos";"lod"
"56";"Tbx3";"Tnfaip2";"12";60,990006;6,55788723820114
"57";"Fam71e1";"Rplp1";"9";33,500003;3,19805047361908
"58";"AA415398";"Cd36";"5";8,11;4,29460110290575
"59";"Fam59a";"Eef2";"10";39,720005;3,47869250761562
"60";"Gm12070";"Gapdh";"6";59,320007;7,62364095686202
"61";"Pitpna";"Ptma";"1";43,960005;3,68597048832729
"62";"Gm10548";"sdcbp";"4";2,91;10,1688343521152
"63";"Tlr5";"Rps9";"7";2,13;4,10736463388406
"64";"Zfp704";"Fabp5";"3";2,47;10,7967035779552
"65";"Tmsb15b1";"Cd36";"5";8,11;4,29460110290575
"66";"Nek9";"Ptma";"1";43,960005;3,11924941861429
"67";"Fubp3";"Tnip1";"11";32,130004;3,1337932404586
"68";"Ovgp1";"Il12b";"11";25,940001;3,5468699950318
"69";"Orc5";"Wdr1";"5";20,630001;4,0022578352261
"70";"Safb";"Ptma";"1";43,960005;4,55909448189628
"71";"Zfp956";"Cd36";"5";8,11;4,04628146617447
"72";"E2f3";"Tnfaip2";"12";60,990006;3,05983486713565
"73";"Ece2";"sdcbp";"4";2,91;3,43388435896853
"74";"Aifm1";"Atp6v1e1";"6";57,010006;3,92230620275421
"75";"Tbcb";"Fau";"19";4,340001;3,25217463243588
"76";"Spats2l";"Gnb2l1";"11";28,770002;3,21806990039929
"77";"Lrp10";"Atp6v1g1";"4";34,010002;4,10688172479988
"78";"Lrp10";"Nfkbia";"12";24,000002;3,04081620228207
"79";"Zfp407";"Atp5a1";"18";52,380004;3,55435041051704
"80";"Tnfrsf8";"Syk";"13";27,410003;3,83584216285388
"81";"Ano7";"Cd36";"5";8,11;4,2946007893751
"82";"Chdh";"Cd36";"5";8,11;4,29460110290575
"83";"Zfp354a";"rpl9";"5";33,660002;4,29470411144324
"84";"Zfp354a";"Tmbim6";"15";56,130003;85,2436985037277
"85";"Mgat4c";"Rps3a1";"3";37,830003;3,99970071664687
"86";"Ruvbl2";"Anxa5";"3";17,460001;3,12464871261372
"87";"Sv2b";"rpl9";"5";33,660002;4,29470411144324
"88";"Sv2b";"Tmbim6";"15";56,130003;85,2436985037278
"89";"Dynll1";"Ccl2";"11";49,820007;3,09170986982262
"90";"Lrp1";"Il1b";"2";62,970005;3,17255942018303
"91";"Fgf4";"Rap2b";"3";29,810002;3,85044712356257
"92";"Fndc8";"sdcbp";"4";2,91;7,35337179610708
"93";"Pde1c";"Mtpn";"6";15,270001;3,57161414277759
"94";"Drap1";"Slc15a3";"19";7,230003;3,83760364651988
"95";"Lyplal1";"Eif1";"11";63,46001;3,6581833606634
"96";"Nr2f6";"Ptma";"1";43,960005;3,02590984253813
"97";"Gm1647";"Tmbim6";"15";56,130003;3,53696808598705
"98";"Hmgcr";"Rpl24";"16";33,740003;3,11237706540148
"99";"Zfp72";"sdcbp";"4";2,91;7,43558956700166
"100";"Snord2";"Rps3a1";"3";37,830003;4,29460102914589
"101";"Actr8";"Hnrnpa2b1";"6";24,870002;3,10056318812787
"102";"Snx15";"spp1";"5";50,680004;3,67206624251869
"103";"Papss1";"Rps3a1";"3";37,830003;3,49661870977312
"104";"Zdhhc24";"Eef1a1";"9";43,650004;3,56061635159385
"105";"Brms1";"Slc15a3";"19";7,230003;4,24505650827276
"106";"Hspa13";"Snx3";"10";22,890002;3,20815836288695
"107";"Egr3";"Tpt1";"14";40,290004;3,73639657334221
"108";"Epb4.1l5";"Ptprc";"1";60,730007;5,67312911794359
"109";"Cdr1";"Gnb2l1";"11";28,770002;4,29460230877106
"110";"Zscan2";"Psme2";"14";28,190002;3,60919458132331
"111";"Glt8d2";"Rpl24";"16";33,740003;5,53177510965834
"112";"Neil3";"Rps3a1";"3";37,830003;6,23548047784938
"113";"Neil3";"Cmpk2";"12";9,691001;3,03405808143189
"114";"Gnb4";"Anxa5";"3";17,460001;3,87670485656188
"115";"Nrxn2";"Rps3a1";"3";37,830003;4,23338726667082
"116";"Trpv4";"Rps3a1";"3";37,830003;3,56399425564632
"117";"Sh3d19";"Wdr1";"5";20,630001;6,35707446899454
"118";"Phf10";"Snx3";"10";22,890002;3,54542000454924
"119";"E130307A14Rik";"Anxa5";"3";17,460001;3,71951149817146
"120";"E130307A14Rik";"Rpl130";"15";15,92;3,14925953222312
"121";"Arpp21";"rpl9";"5";33,660002;4,29470411144324
"122";"Arpp21";"Tmbim6";"15";56,130003;85,2436985037277
"123";"Grina";"Grina";"15";35,590001;4,55314994335846
"124";"Cd22";"Atp6v1g1";"4";34,010002;3,4168356710842
"125";"Lgals4";"tnfrsf1b";"4";78,170005;3,1828887301103
"126";"Lgals4";"Cd83";"13";21,600002;3,15963072592435
"127";"Fam53c";"Cd14";"18";19,46;3,11349354405911
"128";"Dnahc6";"Cd274";"19";23,880004;3,8269508412979
"129";"Cep68";"Cmpk2";"12";9,691001;3,02873456287119
"130";"Adamts19";"sdcbp";"4";2,91;23,7657815217425
"131";"Olfr1151";"sdcbp";"4";2,91;23,7657815217425
"132";"Dhrs9";"Hnrnpa3";"2";44,750002;6,22952154607925
"133";"Srsf12";"Slc6a6";"6";40,730004;3,88439846712347
"134";"Grpr";"Gnb2l1";"11";28,770002;4,29460230877106
"135";"Thyn1";"Eef1a1";"9";43,650004;3,49813076208681
"136";"Trim43a";"sdcbp";"4";2,91;14,5107599641088
"137";"Specc1";"Pik3r5";"11";41,690005;3,72167592507888
"138";"Nme6";"Srgn";"10";32,420003;3,1153019353598
"139";"Zfp260";"isg15";"4";88,610006;3,0657643913713
"140";"Zfp260";"Gns";"10";69,620007;3,40813790995632
"141";"Cd274";"Rpl24";"16";33,740003;3,67141836675441
"142";"Cd274";"Cd14";"18";19,46;3,17694354547218
"143";"Ccs";"Anxa5";"3";17,460001;3,47623130205345
"144";"Ccs";"sdcbp";"4";2,91;3,03460036231039
"145";"Cntf";"sdcbp";"4";2,91;6,23862367751754
"146";"Gm11762";"rpl9";"5";33,660002;4,29470411144324
"147";"Gm11762";"Tmbim6";"15";56,130003;85,2436985037277
"148";"Zfp949";"Eef1a1";"9";43,650004;5,54177074036772
"149";"Fbxo47";"Eif1";"11";63,46001;3,15364906519573
"150";"Gpr174";"Bc005537";"13";10,680001;3,43015196418066
"151";"Mmp17";"Mx2";"16";57,510005;4,04490974080595
"152";"Cyp2b13";"Cd36";"5";8,11;4,2946007893751
"153";"Tyro3";"Ccrl2";"9";60,920005;3,56390489758623
"154";"Pex11a";"Irg1";"14";51,670005;12,3122174141685
"155";"Hist1h2ab";"Gns";"10";69,620007;3,41817757916657
"156";"F11r";"Hck";"2";75,410006;4,5377604047394
"157";"Ghsr";"Cd36";"5";8,11;3,83869284164039
"158";"Mapk12";"rpl9";"5";33,660002;4,29470411144324
"159";"Mapk12";"Tmbim6";"15";56,130003;85,2436985037277
"160";"Cxx1c";"Rap2b";"3";29,810002;3,37466381892822
"161";"Pgm5";"Apoe";"7";9,940001;6,20675077219021
"162";"Eid3";"spp1";"5";50,680004;3,03875934748515
"163";"Phactr2";"Tnfaip3";"10";8,08;3,28968963227008
"164";"Itga8";"Icam1";"9";7,69;3,40479066279061
"165";"Ncf1";"arpc1b";"5";85,030006;3,20578485506168
"166";"Gm10778";"Rpl35a";"16";23,590002;3,36044315072534
"167";"Mvd";"sdcbp";"4";2,91;4,56213352565939
"168";"Erg";"rpl9";"5";33,660002;4,29470411144324
"169";"Erg";"Tmbim6";"15";56,130003;85,2436985037278
"170";"Cox17";"Rps4x";"X";45,200001;3,08061786973091
"171";"Dbr1";"Irg1";"14";51,670005;3,04529662791714
"172";"Dbr1";"Cd274";"19";23,880004;3,30841696487757
"173";"Fam115a";"Ctss";"3";40,740004;3,08659218445915
"174";"Fam115a";"Icam1";"9";7,69;3,33578647217385
"175";"Hps5";"Ldha";"7";30,600004;3,7990405703625
"176";"Pilrb2";"Rpl7";"1";4,94;3,43107028840847
"177";"Pilrb2";"Ccl2";"11";49,820007;3,13367435413746
"178";"Nefh";"sdcbp";"4";2,91;23,7657815217425
"179";"Sart1";"Gnb2l1";"11";28,770002;3,14609212041117
"180";"Myh7b";"sdcbp";"4";2,91;8,97328430232394
"181";"Myh7b";"Rpl35a";"16";23,590002;3,27960315124407
"182";"Steap2";"Rpl24";"16";33,740003;6,41978519670195
"183";"C130021I20Rik";"rpl9";"5";33,660002;4,29470411144325
"184";"C130021I20Rik";"Tmbim6";"15";56,130003;85,2436985037278
"185";"Agpat3";"Rps15";"10";39,720004;6,6944401400133
"186";"Grm3";"sdcbp";"4";2,91;23,7657815217425
"187";"Plbd1";"Irg1";"14";51,670005;4,33121619490553
"188";"Cfh";"Ptprc";"1";60,730007;6,9648115317024
"189";"Zfp324";"Lamp1";"8";5,73;3,3589578778332
"190";"Eci2";"Syk";"13";27,410003;3,46895448832951
"191";"Eci2";"Rps18";"17";17,98;3,22993646077124
"192";"Myg1";"Eef1a1";"9";43,650004;4,0727200465887
"193";"Gm8817";"Eef1a1";"9";43,650004;3,67529928318133
"194";"Snord8";"Tnfaip2";"12";60,990006;4,89570197517536
"195";"Snord8";"Malt1";"18";38,560002;3,53870035940982
"196";"Phactr3";"Hnrnpa3";"2";44,750002;3,26547356438765
"197";"Phactr3";"Cd36";"5";8,11;3,36126379735423
"198";"A530013C23Rik";"Rmrp";"4";23,040001;3,45985940947948
"199";"B3galt4";"Anxa5";"3";17,460001;4,79759715669149
"200";"Rxfp4";"Cd36";"5";8,11;3,62623452902186
"201";"Gm5114";"sdcbp";"4";2,91;3,10952612716984
"202";"Ptx4";"rpl9";"5";33,660002;4,29470411144324
"203";"Ptx4";"Tmbim6";"15";56,130003;85,2436985037277
"204";"Fancf";"Il1b";"2";62,970005;3,42201641565261
"205";"Fancf";"sdcbp";"4";2,91;4,63733675648451
"206";"Cdk17";"Cd74";"18";34,410001;3,17014967198529
"207";"Iqsec1";"Rpl35a";"16";23,590002;3,10899294601163
"208";"Megf9";"Rpl24";"16";33,740003;3,26431048267657
"209";"Suz12";"Hmgb2";"8";29,900002;3,68318759347302
"210";"Nbas";"Klf6";"13";2,94;3,33383807422873
"211";"Gm4684";"Rps3a1";"3";37,830003;4,29460102140448
"212";"Gm10767";"Ctss";"3";40,740004;4,64144779293009
"213";"Gm10767";"Rps3";"7";54,070006;3,21374379584664
"214";"Gm10767";"Sat1";"X";72,380002;3,69874410031663
"215";"Rwdd2a";"Arpc2";"1";38,490004;3,20199829089865
"216";"Tor1b";"Rpl7a";"2";19,1;5,55938636472032
"217";"Zbtb6";"Rps18";"17";17,98;3,422870332111
"218";"Tcf7l2";"Ldha";"7";30,600004;3,34614924747457
"219";"Arrdc3";"Rpl24";"16";33,740003;4,12189523302898
"220";"Gm6583";"sdcbp";"4";2,91;6,37067706828614
"221";"Tbc1d16";"Mx2";"16";57,510005;3,70652352298894
"222";"Tnnt3";"Ifitm3";"7";86,250008;4,13509449271717
"223";"Mrpl55";"isg15";"4";88,610006;3,05954398237368
"224";"Gm14204";"Rpl24";"16";33,740003;4,69137063320964
"225";"B3gnt4";"Rmrp";"4";23,040001;3,98201898466982
"226";"Rdh19";"Cd36";"5";8,11;4,29460110290575
"227";"Ipo11";"Arpc2";"1";38,490004;3,15335335519939
"228";"Gzf1";"Hck";"2";75,410006;3,97694149525172
"229";"Rnf219";"Tpt1";"14";40,290004;3,21848253323951
"230";"Nkain1";"Rpl35";"2";24,420001;3,49956473395964
"231";"Nkain1";"Wdr1";"5";20,630001;5,75281911738303
"232";"Srebf1";"Tnip1";"11";32,130004;3,95872441365242
"233";"Srebf1";"Itm2b";"14";38,880003;3,79037578579007
"234";"Parvb";"Grina";"15";35,590001;5,69011227885563
"235";"Atp2b3";"Gnb2l1";"11";28,770002;4,29460230877106
"236";"Ttc7b";"Calr";"8";41,210003;3,0328333996403
"237";"Tekt2";"sdcbp";"4";2,91;3,97344964824879
"238";"Alkbh4";"Apoe";"7";9,940001;3,74719864750206
"239";"Alkbh4";"Cd63";"10";77,190009;3,60197325702775
"240";"Slpi";"Il1b";"2";62,970005;3,075888766862
"241";"Snora75";"Rnf149";"1";18,330001;4,65750093445253
"242";"Impact";"Cndp2";"18";57,530005;3,59142597362715
"243";"Anxa11";"Rps24";"14";14,42;7,45751985720526
"244";"Abca2";"Rpl7a";"2";19,1;4,85489214848777
"245";"Abca2";"Rps6";"4";40,690003;3,03317072108097
"246";"Ddx10";"Grina";"15";35,590001;3,10075308199004
"247";"Rsph9";"Rpl130";"15";15,92;3,18543175471538
"248";"Elavl4";"Plek";"11";9,41;3,77478690374593
"249";"Hist1h3d";"Eef1a1";"9";43,650004;6,2603820957182
"250";"Fkbp9";"Rmrp";"4";23,040001;3,03049047935662
"251";"Nphs1";"Tnfsf9";"17";29,670003;3,866511976699
"252";"Nqo2";"Dbi";"1";52,650006;3,37805668866205
"253";"Ythdf1";"Cd14";"18";19,46;3,28600161207699
"254";"Cldn7";"rpl9";"5";33,660002;4,35868514971652
"255";"Xirp2";"sdcbp";"4";2,91;16,793156446402
"256";"Pvrl3";"Wdr1";"5";20,630001;3,55884070294211
"257";"Pvrl3";"Erbb2ip";"13";56,160005;3,2514539916717
"258";"Fhl2";"Capg";"6";32,270003;4,08807979707032
"259";"Nup88";"Wdr1";"5";20,630001;3,33535614488758
"260";"Hist1h2bb";"Eef1a1";"9";43,650004;4,94229967287965
"261";"Rabgap1l";"Rpl34";"3";60,550006;3,14086848976274
"262";"Nlrp1b";"Rpl23a";"11";46,740006;6,43964681952282
"263";"Nlrp1b";"Itm2b";"14";38,880003;3,00297031930059
"264";"Mblac1";"sdcbp";"4";2,91;3,39184855311062
"265";"Mblac1";"Gapdh";"6";59,320007;3,01961773286182
"266";"Olfr366";"rpl9";"5";33,660002;4,29470411144324
"267";"Olfr366";"Tmbim6";"15";56,130003;85,2436985037278
"268";"Slc20a1";"Itpkb";"1";84,270009;3,04542366713491
"269";"Smagp";"Irgm1";"11";28,840003;4,47766508937874
"270";"Zfp719";"Sat1";"X";72,380002;3,45816166176492
"271";"Fadd";"Ldha";"7";30,600004;4,43058097640559
"272";"Olfr1133";"sdcbp";"4";2,91;23,7657815217425
"273";"Mertk";"Cd14";"18";19,46;3,10831684184434
"274";"BC052688";"Arpc2";"1";38,490004;4,88223703374202
"275";"Psmd12";"Ptma";"1";43,960005;3,96938419489375
"276";"Fam19a5";"rpl9";"5";33,660002;4,29470411144325
"277";"Fam19a5";"Tmbim6";"15";56,130003;85,2436985037278
"278";"Plekhn1";"isg15";"4";88,610006;4,07436279436568
"279";"Dpep2";"Hck";"2";75,410006;3,36938020718058
"280";"Fam132b";"sdcbp";"4";2,91;3,43105448103081
"281";"C77080";"Prdx1";"4";53,280004;5,28172580282439
"282";"Bmp1";"Syk";"13";27,410003;3,36128285687482
"283";"Sh3bgrl";"Tnfaip3";"10";8,08;3,12635924253438
"284";"Nefm";"sdcbp";"4";2,91;4,65303382614094
"285";"C1qtnf9";"Pld3";"7";15,920002;3,62783387128569
"286";"Csnk1g3";"Hnrnpa3";"2";44,750002;3,02713264515362
"287";"Csnk1g3";"Calr";"8";41,210003;3,78866335040176
"288";"Msra";"Rpl24";"16";33,740003;3,49102740989839
"289";"Chmp7";"cxcl2";"5";44,780003;3,25272307245026
"290";"Gpc5";"Irgm1";"11";28,840003;4,2946010797504
"291";"Samd4";"Cd274";"19";23,880004;3,19289914795416
"292";"Tank";"Rpl35";"2";24,420001;6,24634532925684
"293";"Meis2";"Eef2";"10";39,720005;4,18385204467003
"294";"Olfr112";"App";"16";46,920004;3,42515370553514
"295";"Fbxo31";"Rpl35a";"16";23,590002;3,87041368714281
"296";"Kcnj5";"rpl9";"5";33,660002;4,29470411144324
"297";"Kcnj5";"Tmbim6";"15";56,130003;85,2436985037278
"298";"Il1rl1";"Pld3";"7";15,920002;4,84823824118143
"299";"Ssbp2";"Cd44";"2";54,130004;3,10298040115099
"300";"Ctdspl";"Wdr1";"5";20,630001;3,24870381742766
"301";"Mfsd11";"Rpl7a";"2";19,1;3,34336495576683
"302";"Mfsd11";"Atp6v1e1";"6";57,010006;3,02650362720201
"303";"Slc35b4";"spp1";"5";50,680004;3,20385037897297
"304";"Tnip3";"Pik3r5";"11";41,690005;4,22293610019751
"305";"Etv3";"Pik3r5";"11";41,690005;3,82607190321255
"306";"Arhgef12";"Ptma";"1";43,960005;5,6027804793997
"307";"Mir350";"Apoe";"7";9,940001;3,16562053615966
"308";"Mir350";"Il10ra";"9";24,840002;3,15941053360945
"309";"Foxj1";"Slc6a6";"6";40,730004;3,88439621910478
"310";"Rbm22";"Grina";"15";35,590001;3,26876777910847
"311";"Pmaip1";"Tmbim6";"15";56,130003;3,59506393039092
"312";"Klhl1";"Rpl24";"16";33,740003;76,629266537895
"313";"Rxra";"sdcbp";"4";2,91;3,23045595772045
"314";"Mastl";"Rps9";"7";2,13;6,53555439816225
"315";"Abcc1";"Litaf";"16";6,28;4,24050804747758
"316";"Wdr92";"Cd83";"13";21,600002;5,40484377926718
"317";"Cyp4a32";"rpl9";"5";33,660002;4,29470411144324
"318";"Cyp4a32";"Tmbim6";"15";56,130003;85,2436985037277
"319";"Ostf1";"Ptma";"1";43,960005;4,7024324973592
"320";"Adamtsl5";"Cd36";"5";8,11;3,31502371907949
"321";"Ddx3y";"Irg1";"14";51,670005;3,09358702748483
"322";"Adcy3";"Cmpk2";"12";9,691001;4,48045324401535
"323";"Rab43";"Capg";"6";32,270003;3,68917835572267
"324";"Tmem205";"Mx2";"16";57,510005;4,33565316051222
"325";"Speg";"Ptma";"1";43,960005;3,76107639193314
"326";"Exosc9";"Tfec";"6";7,61;4,13428631168721
"327";"Ell";"sdcbp";"4";2,91;4,82461969847736
"328";"Hebp1";"Pld3";"7";15,920002;3,59067519154689
"329";"Cdk5rap2";"Rap2b";"3";29,810002;3,46348689087895
"330";"Cxcl3";"sdcbp";"4";2,91;4,88814167054601
"331";"Ino80e";"Cd14";"18";19,46;3,6385965126695
"332";"Ino80e";"Slc15a3";"19";7,230003;3,92929061071206
"333";"Mapk14";"Gns";"10";69,620007;3,80223588908328
"334";"I830012O16Rik";"Ptma";"1";43,960005;3,25149805316995
"335";"Tbx18";"Rps3a1";"3";37,830003;4,29460102140448
"336";"Pgm2";"Prdx1";"4";53,280004;3,2459656642415
"337";"Mcoln2";"Rpl34";"3";60,550006;4,8214992304905
"338";"AU022793";"Tor1aip1";"1";67,690008;3,07774332938376
"339";"AU022793";"Slc6a6";"6";40,730004;3,71902566499867
"340";"Ugt1a9";"Cd274";"19";23,880004;3,33171761884194
"341";"Dcun1d5";"Cyba";"8";71,040005;3,88681573425127
"342";"Sult1a1";"Rpl7a";"2";19,1;3,18435921585705
"343";"Dusp10";"Mx2";"16";57,510005;3,6511417616059
"344";"Cebpe";"Rpl24";"16";33,740003;13,4184836383651
"345";"Pgf";"cxcl2";"5";44,780003;4,37898744307411
"346";"Pgf";"Tnfaip2";"12";60,990006;6,12857442227938
"347";"Gpank1";"Cd274";"19";23,880004;3,26932313575045
"348";"Gpank1";"Rps4x";"X";45,200001;3,58892722468461
"349";"Prkacb";"spp1";"5";50,680004;3,53970122433788
"350";"Ttyh2";"Actg1";"11";84,070012;4,4843511137977
"351";"Dhrs11";"Aldoa";"7";69,250007;4,09139383666279
"352";"Dhrs11";"Erbb2ip";"13";56,160005;3,7762993478275
"353";"Tarm1";"Rps9";"7";2,13;3,22590421287558
"354";"Slc44a4";"rpl9";"5";33,660002;4,29470411144325
"355";"Slc44a4";"Tmbim6";"15";56,130003;85,2436985037277
"356";"Cr2";"sdcbp";"4";2,91;23,7657815217425
"357";"Mllt11";"Plek";"11";9,41;3,41351715443711
"358";"Cyp2s1";"Arpc2";"1";38,490004;5,59039009091329
"359";"Tmsb10";"Ptma";"1";43,960005;3,05512240415155
"360";"Ppargc1a";"sdcbp";"4";2,91;10,2304885963449
"361";"Spc25";"Slc6a6";"6";40,730004;4,43400798957671
"362";"Gpr137";"Rpl10";"X";37,94;3,70669317644465
"363";"Edem1";"Tnip1";"11";32,130004;3,29162601696657
"364";"Sncaip";"Snx3";"10";22,890002;3,05419680772171
"365";"Gm4788";"Cd36";"5";8,11;3,39903845595638
"366";"Pcdhgb8";"sdcbp";"4";2,91;4,20399834853533
"367";"Matn4";"Irgm1";"11";28,840003;4,29460107975039
"368";"Rtn4";"Ptma";"1";43,960005;3,24474757277005
"369";"Adra1a";"Itm2b";"14";38,880003;4,68264028618847
"370";"Dnajc18";"Rps9";"7";2,13;3,02072852720472
"371";"Mdga2";"Rpl24";"16";33,740003;76,629266537895
"372";"Crabp2";"Cd36";"5";8,11;3,5617044198594
"373";"Pex10";"Rpl24";"16";33,740003;5,32500963866514
"374";"Edn3";"Rps3a1";"3";37,830003;3,53227134944616
"375";"Prss45";"sdcbp";"4";2,91;23,7657815217425
"376";"Cyb5r1";"Ptprc";"1";60,730007;5,86047777296424
"377";"E230016M11Rik";"Sep15";"3";68,940007;3,30121112362659
"378";"E230016M11Rik";"Nfkbia";"12";24,000002;3,54462449779046
"379";"Pcsk5";"sdcbp";"4";2,91;7,28760125607469
"380";"Pcsk5";"Rpl35a";"16";23,590002;6,56220164757522
"381";"Thoc5";"Ldha";"7";30,600004;3,09705593874513
"382";"Slc45a4";"Rps3";"7";54,070006;3,33607739682696
"383";"Lrp5";"Ccrl2";"9";60,920005;3,01904472738712
"384";"Ilf2";"Gapdh";"6";59,320007;3,89914880961665
"385";"Slfn8";"Nme2";"11";58,880008;10,6379734015443
"386";"Cep57l1";"Iqgap1";"7";45,680005;3,44634046860113
"387";"Il10ra";"Cd14";"18";19,46;3,75757464104304
"388";"Ddx19b";"Rps12";"10";11,100001;3,29391402223914
"389";"Cacnb4";"Myl6";"10";76,750008;3,36998177808437
"390";"Apol7c";"Capg";"6";32,270003;3,54442926758826
"391";"BC031353";"Il10ra";"9";24,840002;3,06602557025991
"392";"Fabp4";"Fabp5";"3";2,47;7,88121129294127
"393";"St6gal1";"Pik3r5";"11";41,690005;3,23732732419266
"394";"Mlycd";"Rpl35";"2";24,420001;4,06869663345987
"395";"Fam100a";"isg15";"4";88,610006;3,43645800404698
"396";"Tnn";"Tor1aip1";"1";67,690008;3,19560688648869
"397";"Tnn";"Il12b";"11";25,940001;3,03597226846078
"398";"Dcaf7";"Bc005537";"13";10,680001;3,16835858216141
"399";"Lipc";"Rps3a1";"3";37,830003;3,93258868422505
"400";"Cdon";"Rap2b";"3";29,810002;4,24653942490004
"401";"Mmp23";"Gnb2l1";"11";28,770002;4,19385445053512
"402";"Gm5803";"sdcbp";"4";2,91;3,24497119157615
"403";"Gm5803";"Rpl24";"16";33,740003;4,21937653112763
"404";"AI646023";"Cox7a2l";"17";53,020004;3,05561263305809
"405";"Dr1";"Irgm1";"11";28,840003;3,23321204863011
"406";"Pamr1";"Hnrnpa3";"2";44,750002;3,26608588188924
"407";"Pamr1";"Cd36";"5";8,11;3,36063288384323
"408";"Zscan29";"Cd44";"2";54,130004;5,94457723232924
"409";"Gls";"Tnip1";"11";32,130004;3,61264189177695
"410";"Mir719";"Eef1a1";"9";43,650004;4,34857238874794
"411";"Aldh4a1";"Rps24";"14";14,42;3,03750552935375
"412";"Slc25a45";"Cd74";"18";34,410001;3,26113467736637
"413";"H60c";"Rps3a1";"3";37,830003;3,76517924086857
"414";"Dnahc1";"cxcl2";"5";44,780003;3,8906202814928
"415";"Dnahc1";"Rps9";"7";2,13;5,85947190202644
"416";"Gm13051";"Rps11";"7";29,140003;3,06084072650165
"417";"Klra21";"Tmbim6";"15";56,130003;4,0537660219985
"418";"Pip5k1c";"Slc25a3";"10";45,600006;4,78873411687677
"419";"Mest";"Rps24";"14";14,42;3,29816843188931
"420";"Atp4a";"rpl9";"5";33,660002;4,29470411144325
"421";"Atp4a";"Tmbim6";"15";56,130003;85,2436985037278
"422";"Scn8a";"Cd36";"5";8,11;4,29460110290575
"423";"Fgr";"tnfrsf1b";"4";78,170005;5,77594030679082
"424";"Cdk8";"Il1b";"2";62,970005;4,17559466971909
"425";"Tsnax";"Aldoa";"7";69,250007;4,2315307477608
